rider_id,fullname,team,birthdate,country,height,weight,rider_url,rdr,pps_one_day,pps_gc,pps_time_trial,pps_sprint,pps_climber
5e4c220d0657face20e49719b725a001,BARDET Romain,team dsm,1990-11-09,france,0.567838202422489,-0.5710285214014038,https://www.procyclingstats.com/rider/romain-bardet,"{'PCS Ranking': '43', 'UCI World Ranking': '52', 'Specials | All Time Ranking': '375'}",2620,5138,333,446,6414
995d110d3b2e05830409874b401a3218,DUMOULIN Samuel,,1980-08-20,france,-3.4192737040750436,-1.8490775895721916,https://www.procyclingstats.com/rider/samuel-dumoulin,{'Specials | All Time Ranking': '365'},3681,1277,91,6327,615
21b52056733e39f06885dfb9d18bc77a,GALLOPIN Tony,ag2r citroën team,1988-05-24,france,-0.07009970261711684,0.06799601268399004,https://www.procyclingstats.com/rider/tony-gallopin,"{'PCS Ranking': '511', 'UCI World Ranking': '999', 'Specials | All Time Ranking': '537'}",2864,2268,1066,1988,2545
3fe13c77eb187357fa58c810a7aa7083,NAESEN Oliver,ag2r citroën team,1990-09-16,belgium,0.567838202422489,0.5472644132480354,https://www.procyclingstats.com/rider/oliver-naesen,"{'PCS Ranking': '203', 'UCI World Ranking': '143', 'Specials | All Time Ranking': '729'}",3619,1157,35,1996,968
ae00cdf6b464b193c1a34e08fe1eded7,FRANK Mathias,,1986-12-09,switzerland,-0.7080376076567226,-0.7307846549227524,https://www.procyclingstats.com/rider/mathias-frank,"{'PCS Ranking': '755', 'UCI World Ranking': '902', 'Specials | All Time Ranking': '1235'}",702,2803,604,352,2386
91e0966363a539721e42301c65121154,VUILLERMOZ Alexis,team totalenergies,1988-06-01,france,-1.0270065601765255,-1.3698091890081463,https://www.procyclingstats.com/rider/alexis-vuillermoz,"{'PCS Ranking': '446', 'UCI World Ranking': '478', 'Specials | All Time Ranking': '1436'}",1168,1506,98,416,1523
cb1b0133de9d7c7bf5a25f3dbcf9498c,LATOUR Pierre,team totalenergies,1993-10-12,france,-0.07009970261711684,-0.4112723878800554,https://www.procyclingstats.com/rider/pierre-latour,"{'PCS Ranking': '126', 'UCI World Ranking': '149', 'Specials | All Time Ranking': '1795'}",583,1795,890,164,2186
cf8e8049a7da03cc21365b0dbe3580cf,GENIEZ Alexandre,team totalenergies,1988-04-16,france,0.567838202422489,-0.09176012083735843,https://www.procyclingstats.com/rider/alexandre-geniez,"{'PCS Ranking': '982', 'UCI World Ranking': '1331', 'Specials | All Time Ranking': '954'}",538,1709,707,350,1380
e6cb8063e7c4a2057f441f683fa2420d,DUPONT Hubert,,1980-11-13,france,-1.0270065601765255,-1.8490775895721916,https://www.procyclingstats.com/rider/hubert-dupont,{},353,2020,107,426,1341
43d959b2f2497e767b788ee464de864f,DILLIER Silvan,alpecin-fenix,1990-08-03,switzerland,0.4083537261625875,1.0265328138120808,https://www.procyclingstats.com/rider/silvan-dillier,"{'PCS Ranking': '424', 'UCI World Ranking': '339', 'Specials | All Time Ranking': '1209'}",1080,803,525,902,404
109ccd0a6d7f79d97231c6d63b33bd71,COSNEFROY Benoît,ag2r citroën team,1995-10-17,france,-0.2295841788770183,-0.7307846549227524,https://www.procyclingstats.com/rider/benoit-cosnefroy,"{'PCS Ranking': '58', 'UCI World Ranking': '42', 'Specials | All Time Ranking': '872'}",1941,315,107,612,658
b6ca834ce5365f21026d155ecb48af53,CHEREL Mikaël,ag2r citroën team,1986-03-17,france,0.4083537261625875,-0.5710285214014038,https://www.procyclingstats.com/rider/mikael-cherel,"{'PCS Ranking': '1034', 'UCI World Ranking': '1393'}",603,1213,1,600,734
